State,Sector,Company,Status,About,Website,Department,LinkedIn
Abia,Construction Industry ,Setraco Nigeria Limited,Paid,"SETRACO GROUP is a multinational engineering and services group that includes over 30 companies operating within the public and private sectors. 

With a projects portfolio exceeding a yearly turnover of 1 Billion USD, and an employee base of over 20,000 from over 30 nationalities, SETRACO GROUP is a global player committed to the delivery of quality in every aspect.

Through its integrated model that includes a network of experts in the construction industry, related and other services, a huge fleet of modern equipment, and advanced technological resources, SETRACO GROUP provides leading results with an outlook to improve life’s standards. 

SETRACO GROUP recognizes that it is its people’s loyalty and dedication to quality that have contributed to its sustainability and continued growth, which is why care is taken in every aspect of employees'​ work life to ensure satisfaction, personal growth and actualization so that their decisions, whether in the workplace or in their personal lives, influence positive change and forwardness. 
          Civil Engineering and Infrastructure, Building Construction, Real Estate Development, Manufacturing, Electrical Services, and Satellite Imaging and Mapping
         Abia Construction Industry  Setraco Nigeria Limited Paid",http://www.setracogroup.com,,https://www.linkedin.com/company/setraco-nigeria-limited/about/
Abuja,Construction Industry ,Setraco Nigeria Limited,Paid,"SETRACO GROUP is a multinational engineering and services group that includes over 30 companies operating within the public and private sectors. 

With a projects portfolio exceeding a yearly turnover of 1 Billion USD, and an employee base of over 20,000 from over 30 nationalities, SETRACO GROUP is a global player committed to the delivery of quality in every aspect.

Through its integrated model that includes a network of experts in the construction industry, related and other services, a huge fleet of modern equipment, and advanced technological resources, SETRACO GROUP provides leading results with an outlook to improve life’s standards. 

SETRACO GROUP recognizes that it is its people’s loyalty and dedication to quality that have contributed to its sustainability and continued growth, which is why care is taken in every aspect of employees'​ work life to ensure satisfaction, personal growth and actualization so that their decisions, whether in the workplace or in their personal lives, influence positive change and forwardness. 
          Civil Engineering and Infrastructure, Building Construction, Real Estate Development, Manufacturing, Electrical Services, and Satellite Imaging and Mapping
         Abuja Construction Industry  Setraco Nigeria Limited Paid",http://www.setracogroup.com,,https://www.linkedin.com/company/setraco-nigeria-limited/about/
Abuja,Communications,Nigerian Communication Satellite,Paid,"We manage and operate the first quad band communications satellite in sub Saharan Africa, NigComSat-1R which has on-board Ku-band, Ka-band, C-band and L-band.  

We offer:
Transponder leasing services
Broadband services
Broadcasting services ( signal carrier services)
Trunking services
Fleet Management services

We also have the platform for:
TeleMedicine
TeleEducation
E-Government
E-commerce
CDMA services

With our Network Operations Centre and Satellite Control Centre in Nigeria, we are well within your reach for technical support.

Email: 
marketing@nigcomsat.gov.ng

info@nigcomsat.gov.ng 
          Transponder leasing, Telepresence, Broadband, Broadcasting, and E-government
         Abuja Communications Nigerian Communication Satellite Paid",http://www.nigcomsat.gov.ng,,https://www.linkedin.com/company/nigcomsat/about/
Abuja,Oil And Gas ,Nnpc,Paid,"Energy for Today | Energy for Tomorrow 
            Abuja, FCT
           Abuja Oil And Gas  Nnpc Paid",http://nnpcgroup.com,,https://www.linkedin.com/company/nnpclimited/about/
Anambra,Mechanical Engineering,Innoson Vehicle Manufacturing Company,Not Paid,No Info yet Anambra Mechanical Engineering Innoson Vehicle Manufacturing Company Not Paid,,,https://ng.linkedin.com/
Anambra,Construction Industry ,One Cubes Consults,Paid,"Cubes Consult services include:
Architecture
Building criteria and drawings
Building expansion alternatives
Building, plant, process layout
Civil Engineering
Concept design and planning
Concept sketches and drawings
Front end planning
Greenfield site development and purchase
Interior Design
Laboratory and office layouts
Landscape Design
Planning
Plant remodelling and renovations
Project and construction management consulting
Project Development
Project Management
Site planning
Space Planning
Specialist Construction
Visualizing owner’s requirements onto paper
Warehouse layouts and material handling equipment selection 
          Architecture, Construction and Building Project Management, Planning/Interior Design, and Landscaping
         Anambra Construction Industry  One Cubes Consults Paid",https://cubesconsult.com.ng,,https://www.linkedin.com/company/cubes-consult-nigeria-/about/
Delta,Engineering And Supervision,Ministry Of Transportation,Not Paid,No Info yet Delta Engineering And Supervision Ministry Of Transportation Not Paid,,,https://ng.linkedin.com/
Enugu,Manufacturing,Innoson Tech. & Ind. Co. Ltd.,Not Paid,"The pride of African roads. 
          Sedan, SUV, Trucks, Buses, Jeep, Long Buses, and Pick-up Trucks
         Enugu Manufacturing Innoson Tech. & Ind. Co. Ltd. Not Paid",http://www.innosonvehicles.com,,https://www.linkedin.com/company/innoson-vehicles/about/
Enugu,IT/Technology Consulting Firm ,Tenece Professional Services,Paid,"Tenece Professional Services Limited (Tenece) is a multi-competency enterprise transformation and technology-consulting firm that combines expertise and capabilities across many industries and business functions to deliver superior value to its clients. Tenece collaborates with its clients, both in the private and public sectors, to build high performance enterprises. 
          Technology, Managed Services, and Advisory
         Enugu IT/Technology Consulting Firm  Tenece Professional Services Paid",http://www.tenece.com,,https://www.linkedin.com/company/tenece-professional-services/about/
Enugu,Construction Industry ,Viagem Property And Investment,Paid,No Info yet Enugu Construction Industry  Viagem Property And Investment Paid,,,https://ng.linkedin.com/
